,Application mode,Course,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
0,8,2,1,0,20,0,0,0,0,0,0,0,0,0
1,6,11,0,0,19,6,6,6,14,6,6,6,13,1
2,1,5,0,0,19,6,0,0,0,6,0,0,0,0
3,8,15,1,0,20,6,8,6,13,6,10,5,12,1
4,12,3,1,0,45,6,9,5,12,6,6,6,13,1
5,12,17,1,0,50,5,10,5,11,5,17,5,11,1
6,1,12,1,1,18,7,9,7,13,8,8,8,14,1
7,9,11,0,0,22,5,5,0,0,5,5,0,0,0
8,1,10,1,1,21,6,8,6,13,6,7,6,14,1
9,1,10,0,0,18,6,9,5,11,6,14,2,13,0
10,1,14,1,0,18,6,6,6,12,6,7,5,14,1
11,1,12,1,1,18,8,8,7,13,8,8,7,13,1
12,1,16,1,0,19,6,6,0,0,6,0,0,0,0
13,17,11,1,1,21,6,7,6,10,6,8,5,11,1
14,1,6,1,1,18,5,7,4,13,5,5,5,12,1
15,1,15,1,0,20,6,6,5,13,6,7,0,0,0
16,9,10,1,0,18,6,10,1,12,6,14,2,11,0
17,8,12,1,0,18,7,8,7,13,8,8,8,14,1
18,1,8,1,0,20,5,8,4,12,5,8,4,12,1
19,1,16,1,0,18,7,7,6,11,7,8,6,13,0
20,1,2,1,1,21,0,0,0,0,0,0,0,0,1
21,9,13,1,0,20,7,14,7,11,8,9,8,11,0
22,1,12,1,0,18,8,12,7,12,8,12,7,12,1
23,1,14,1,1,19,6,8,6,13,6,7,6,12,1
24,1,12,1,0,19,7,8,6,13,8,9,7,14,1
25,1,10,1,1,18,6,8,5,11,6,12,4,11,0
26,8,10,1,0,21,6,9,6,11,6,9,6,13,1
27,1,6,1,0,18,5,9,5,12,5,7,4,13,0
28,1,9,1,0,20,5,6,5,12,5,6,5,12,1
29,8,12,1,0,19,7,9,6,12,7,7,6,13,0
30,15,4,1,0,21,6,15,5,11,6,17,5,10,0
31,16,5,1,0,20,6,7,6,12,6,9,4,13,1
32,1,9,0,0,18,5,9,3,11,5,8,2,13,0
