Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
12,1,12,14,10,4,0,0,1,0,0,20,8,7,7,13,0,0,7,12,7,14,0,0.8735406006810921,0.6628712009976607,1
8,1,5,14,3,11,1,0,1,0,0,19,6,12,6,12,0,0,7,8,5,12,3,1.0038633142705196,0.9987674942157924,1
8,4,2,14,1,2,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,-0.009724879311107241,0.025014739916577745,0
1,2,17,27,10,6,1,0,0,0,0,19,5,6,0,0,0,0,6,6,0,0,-1,0.0034580822805247427,0.01727569710598165,0
1,1,5,14,10,6,1,0,1,0,0,25,6,15,6,11,0,0,6,5,5,11,-4,0.8211491798765193,0.9928855259163973,0
8,1,11,3,3,4,1,0,1,1,0,19,6,6,5,15,0,0,6,10,6,12,3,0.9981078842480675,0.8517423979268169,0
1,2,6,28,10,10,1,0,1,0,1,20,6,6,5,13,0,0,6,8,5,12,-1,0.8634976859562833,0.9927742311879564,1
1,6,15,14,4,10,1,0,1,0,0,18,6,6,6,13,0,0,6,6,6,13,0,1.019382461041169,1.0012373066486313,1
15,1,16,24,1,10,0,0,1,1,0,32,6,14,3,10,0,0,6,12,2,11,0,0.46228373376985604,0.432779588086162,0
8,1,5,1,4,8,1,0,1,0,0,24,6,12,5,10,0,0,5,11,5,13,3,1.0131177283438737,1.003135347248868,1
1,3,12,14,4,11,1,0,1,0,0,18,7,9,6,13,0,0,8,7,8,14,2,0.996217725296875,1.0003532904196555,1
12,2,12,14,6,11,1,0,1,1,0,32,7,9,7,13,0,0,7,9,0,13,0,0.5058146253894025,0.03645873073773803,0
5,1,6,27,1,3,1,1,0,0,0,31,5,6,0,0,6,0,5,0,0,0,-4,-0.025346527771453697,-0.013404344196486843,0
8,1,12,14,4,2,0,1,1,1,0,31,8,9,7,13,0,0,8,9,7,14,0,0.8449066576683801,0.874513315117847,0
12,1,12,28,10,4,0,0,1,1,0,19,7,9,7,14,0,0,8,7,8,13,0,0.824070751433936,1.0007792611237059,1
14,1,14,1,1,19,1,0,0,1,0,20,6,17,3,10,0,0,6,19,0,0,0,0.3571909356672209,0.6600448649083142,0
14,2,6,10,1,2,1,0,1,0,0,20,5,13,0,0,3,0,5,10,0,0,0,-0.008133802441514668,-0.008904848963628961,0
9,1,8,27,10,10,0,1,1,0,0,37,6,16,3,11,0,2,6,14,3,10,-4,0.48645275918028275,0.523429198799361,0
8,4,12,14,5,7,0,0,1,0,0,19,6,6,6,13,0,0,6,7,6,14,-4,1.0087836564755062,0.9931310659204217,1
17,1,6,4,6,1,0,0,1,1,0,20,10,13,10,13,0,9,11,11,10,13,3,0.8348951288255354,0.8438545571009253,1
1,4,11,27,4,10,0,1,1,0,0,26,6,6,0,0,0,0,5,5,0,0,0,0.020283694399877098,0.01245836892015164,1
1,4,6,27,10,10,1,0,1,0,0,18,5,6,2,10,0,0,5,10,4,0,3,1.0053921105973986,0.9917577681387985,1
9,1,13,1,5,39,0,0,1,0,0,33,13,13,14,11,3,4,10,11,5,11,3,0.9964647661730226,0.627077068010422,1
1,1,16,1,8,8,0,0,1,0,0,24,6,10,2,10,0,0,6,8,3,10,1,0.433263605637529,0.4164664503167482,0
1,4,16,14,10,9,1,0,1,0,1,19,5,8,5,11,0,0,5,6,5,11,0,0.9974990517825456,0.834714959572008,1
12,1,3,14,2,5,0,0,1,0,0,37,5,7,3,12,0,0,5,6,0,11,0,0.8473096944477514,0.8450589756858604,0
8,1,12,1,3,11,0,0,1,0,0,18,7,7,6,13,0,0,8,7,6,13,2,1.0063353825841768,0.9927648578855155,1
1,1,7,1,12,4,0,0,1,1,0,20,5,4,2,10,0,0,5,6,0,0,0,0.0014087968435863936,0.40238234233996867,0
14,1,5,27,3,10,0,0,1,0,0,34,10,8,16,13,0,11,11,11,7,11,3,0.5534291965424973,0.8391767447826105,0
1,3,5,28,3,8,1,0,1,0,0,18,6,6,6,13,0,0,6,6,6,13,3,1.006071769391972,0.993992161915457,1
8,2,8,1,2,11,0,0,1,1,0,26,5,14,4,11,0,0,5,9,3,13,-4,0.5915460761070087,0.398318512807696,0
1,1,12,14,8,8,1,0,1,0,0,20,7,14,7,13,0,0,7,7,5,13,3,0.8686555128375847,0.8427573009947706,0
12,1,12,27,10,10,0,0,1,0,0,24,7,8,7,12,0,0,7,8,5,14,1,0.8594195196813594,0.8355090909058636,0
4,1,3,27,10,1,0,0,0,1,0,32,15,23,13,11,7,5,12,21,14,12,-4,0.49910912995240747,0.8302527870295233,0
15,1,15,1,1,3,0,0,1,0,0,27,6,6,5,13,0,0,6,9,6,13,0,1.0015518515676687,0.8503555835676087,1
12,3,9,28,8,12,0,1,1,1,0,25,5,5,3,11,0,0,5,6,3,11,0,0.42746364696044553,0.43686803044396183,0
12,1,17,27,10,10,0,0,0,1,0,37,5,9,4,12,0,0,5,7,5,11,-1,0.32692780652131553,0.8163415263565654,0
16,1,10,28,3,9,1,0,1,0,0,21,6,9,4,13,0,0,6,8,5,11,1,0.8484244978710492,0.8329244791102635,1
8,5,7,1,5,1,0,0,1,1,0,19,5,5,2,13,0,0,5,6,0,13,0,0.6708474633397343,0.9885587937008006,1
1,2,15,27,10,10,1,0,1,0,1,20,5,6,4,12,0,0,5,6,5,12,-3,1.001498462480646,1.006051749694199,1
14,1,2,1,3,7,0,1,1,1,0,20,6,15,0,0,0,0,6,0,0,0,-4,-0.017709508450928443,0.002947367464866451,0
1,2,10,28,1,8,1,1,1,1,0,25,6,14,5,13,0,0,6,12,4,12,-4,0.6413139349026933,0.6562071760787594,0
8,1,6,28,5,3,1,0,1,1,0,19,6,12,3,10,0,0,6,12,2,13,0,0.3800462565914302,0.47484814128430664,0
12,1,9,14,10,11,0,1,1,1,0,28,5,9,2,11,0,0,5,9,3,11,0,-0.0074648819498099915,0.8080080291309192,0
8,1,2,24,10,8,1,1,1,1,0,29,5,5,0,0,0,0,5,0,0,0,3,0.02140323270353456,0.009560196131929342,0
16,1,12,3,29,7,1,0,1,0,0,21,7,10,7,15,0,0,8,7,8,12,3,1.0057582058290817,1.0017830097032785,1
8,2,6,27,8,10,1,0,1,0,0,18,6,6,6,13,0,0,6,6,5,12,1,0.9977169865091011,1.0065287237032166,0
14,1,4,28,9,20,1,0,1,1,0,38,11,21,19,11,0,11,11,14,10,11,-4,1.0122419188765972,1.002637130975927,1
8,1,4,28,10,10,1,0,1,0,0,20,6,10,6,13,0,0,6,7,6,13,0,0.8574545270778635,1.00609488614774,1
15,1,10,27,10,10,0,0,1,1,0,38,9,16,6,12,0,2,6,12,5,12,1,0.8480877460336973,0.8605585717807134,1
1,4,12,28,10,10,1,0,1,1,0,19,5,8,4,12,0,0,5,10,5,11,-3,1.0021557871086557,0.8225431054059885,1
12,1,6,27,10,10,0,0,1,1,0,30,5,6,0,0,0,0,5,10,0,0,1,0.00838639683752667,0.000923173344480595,0
13,3,9,5,3,11,1,0,1,0,0,19,5,7,2,14,0,0,5,6,5,13,1,1.0096687066077923,0.9978669269786504,1
8,1,7,3,4,6,1,0,1,1,0,21,5,7,4,12,0,0,5,11,4,12,1,0.9932523986936846,0.9869104385308578,1
8,3,12,14,10,9,1,0,1,0,0,18,7,10,6,14,0,0,8,8,8,12,0,1.01238049131303,1.0059727515718306,1
1,1,12,28,3,10,1,1,1,0,0,20,7,10,7,13,0,0,8,12,7,13,0,0.9085349638894682,0.842914424075744,1
12,1,17,14,10,8,0,0,1,0,0,26,6,9,5,13,0,0,6,8,5,11,1,0.8393312843998555,0.813504019982652,0
14,1,9,27,10,1,0,1,1,1,0,29,5,14,3,10,0,0,5,11,2,0,1,0.3846807530297141,0.2020959320556042,0
16,1,7,14,10,4,1,0,1,1,0,19,5,15,3,11,1,0,6,11,3,10,1,0.6329909894888491,0.6089637167406815,1
14,1,3,27,10,10,0,0,1,0,0,50,8,16,9,11,6,2,7,12,7,13,0,0.8431839951954676,0.6903901605190158,0
14,1,9,14,4,1,0,0,1,0,0,21,5,12,2,11,0,0,6,7,2,10,0,0.4613773621220736,0.32546978760321454,0
12,1,7,1,12,6,0,0,1,1,0,29,5,6,0,0,0,0,5,6,0,0,0,-0.015212469224802239,-0.019901339338889257,0
1,1,4,27,6,11,0,0,1,0,0,45,6,6,6,13,0,0,6,6,6,13,0,1.0135834554032706,1.005748685209713,1
1,4,6,28,6,5,1,0,1,0,0,25,6,6,6,16,0,0,6,7,6,14,0,0.9962600587223281,0.8382752867876015,0
1,3,11,14,4,8,1,0,1,0,0,19,6,9,6,15,0,0,6,6,6,12,0,0.9998303555698187,0.9934688958102232,1
8,1,12,3,29,11,1,0,1,0,0,18,7,10,10,14,0,2,8,9,8,13,0,0.8473751517562343,0.9992923348328528,0
13,1,3,27,10,10,0,1,1,0,0,41,11,24,12,12,0,7,12,17,11,13,3,0.8707828256309746,0.8078069334601325,1
1,3,16,14,4,11,0,0,1,0,0,24,6,16,4,10,0,0,6,8,2,11,1,0.4497948625608966,0.3226176514210254,0
1,1,12,14,3,8,0,0,1,0,0,19,8,9,7,12,0,0,8,9,7,13,0,0.8920031333112253,0.8727522392562694,1
14,1,9,1,5,9,0,1,0,1,0,24,11,17,2,10,2,0,5,12,2,11,0,0.46518669337832863,0.3214463049835695,0
8,1,9,27,10,10,1,0,1,0,1,18,8,8,5,13,0,0,5,8,7,13,0,0.8672122964477504,0.8494532307738132,1
1,5,2,14,10,10,1,0,1,1,0,18,0,6,0,0,0,0,6,0,0,0,0,0.009014092351609493,0.005751438397497783,1
1,3,12,14,10,10,1,0,1,1,0,20,7,10,6,13,0,0,8,7,6,11,1,0.8449331064197876,0.852110043199965,1
9,2,14,1,6,4,1,0,1,0,0,19,8,8,6,15,1,0,8,7,6,13,2,1.0019473911385819,1.0133268759106246,1
9,1,17,27,6,8,1,0,1,0,0,44,5,6,0,0,0,0,5,5,0,0,1,-0.009702296032995432,0.0016438407522569522,1
12,5,12,1,5,11,0,0,1,0,0,27,7,7,6,13,0,0,8,8,6,14,0,0.9910200160581197,0.9958714200337949,1
8,6,12,14,8,6,0,0,1,0,0,19,7,10,7,13,0,0,8,12,7,14,1,0.8845878474720614,0.8690768470270545,1
15,1,3,14,8,1,0,0,1,0,0,21,6,6,0,0,0,0,6,0,0,0,-3,-0.009695748691534611,0.002764652985126793,1
1,2,9,28,10,9,1,1,1,0,0,20,8,11,5,12,0,4,11,9,7,14,-4,0.8705875498358564,1.0067055003194396,1
1,3,15,14,8,4,1,0,1,0,1,19,6,8,6,13,0,0,6,7,6,14,1,1.0008408302911715,1.002125317313435,0
13,1,5,1,5,4,1,0,1,1,0,21,14,16,10,12,0,4,10,12,10,13,-4,1.0109187899675693,1.002975336902915,1
12,2,9,9,12,10,0,0,1,0,0,21,5,6,3,10,3,0,5,5,4,13,-1,0.1908788111162394,0.618992403474052,0
1,3,9,27,10,4,1,0,1,1,0,19,8,15,5,13,0,0,5,11,3,11,0,0.857280000509861,0.8356508983896975,1
1,3,12,1,5,8,1,0,1,0,1,19,6,8,6,13,0,0,7,7,6,12,3,0.8598372791349114,0.9997606617642438,1
9,2,2,1,7,10,1,1,1,1,0,19,6,1,0,0,0,0,0,0,0,0,1,-0.016606298540623034,0.014827948850627399,0
1,3,16,14,6,11,1,0,1,0,0,18,6,10,4,13,0,0,6,9,6,14,3,0.9986400439866218,0.8593373806378543,1
12,1,12,27,21,9,0,0,1,0,0,24,7,8,2,13,0,0,8,8,5,12,-3,0.8712261267893477,0.8358631231203907,1
12,2,12,1,2,11,0,0,1,0,0,18,7,9,6,13,0,0,7,7,6,14,-4,0.013295034898898337,1.0012716682936105,1
8,3,11,1,10,2,1,0,1,0,0,19,6,12,6,10,0,0,6,12,2,13,0,0.44830120545829144,0.43211867376487817,0
12,1,6,27,10,10,0,0,1,0,0,38,5,12,0,0,0,0,5,8,0,0,0,-0.022297973171506644,-0.014692676514003567,0
1,2,9,27,10,10,1,0,1,0,1,43,5,10,5,12,0,0,7,8,5,11,0,0.8485477415952868,0.8416104420052812,1
12,1,14,24,5,11,0,1,0,1,0,26,5,5,0,0,0,0,5,7,0,0,0,0.00938211617558892,0.016201691708420233,0
8,3,13,1,8,4,0,0,1,0,1,20,7,7,6,14,0,0,6,9,6,14,3,1.0027248099443549,0.9948962324378161,1
1,1,11,28,10,6,1,1,1,0,0,18,6,6,6,13,0,0,6,8,4,11,3,0.9992351738850428,0.43739128941108674,1
1,2,12,14,8,11,1,0,1,1,0,19,7,9,0,0,0,0,7,7,0,0,0,-4.731317963210585e-05,-0.00023600116927309858,0
8,5,11,1,3,5,0,0,1,1,0,18,6,10,3,13,0,0,5,8,3,10,0,0.4026785913622639,0.3875461579400338,0
12,1,3,28,10,7,0,0,0,0,0,26,6,6,0,0,0,0,6,5,0,0,0,0.020838743845064588,0.022980343500568212,0
8,1,11,14,6,6,1,0,1,0,0,19,6,0,6,12,0,0,6,0,0,10,0,0.8198288674155689,0.38877470168176004,0
3,1,15,16,16,1,0,0,1,0,0,31,6,13,0,13,0,0,6,6,0,0,-1,-0.025514441830283636,-0.0013901946676941777,0
1,3,11,28,10,4,1,0,1,0,1,18,6,6,6,13,0,0,6,7,6,13,1,1.0014232214288346,0.9974246069067824,1
