Course,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
2,0,1,0,20,0,0,0,0,0,0,0,0,0
11,0,0,0,19,6,6,6,14,6,6,6,13,1
5,0,0,0,19,6,0,0,0,6,0,0,0,0
15,0,1,0,20,6,8,6,13,6,10,5,12,1
3,0,1,0,45,6,9,5,12,6,6,6,13,1
17,1,1,0,50,5,10,5,11,5,17,5,11,1
12,0,1,1,18,7,9,7,13,8,8,8,14,1
11,0,0,0,22,5,5,0,0,5,5,0,0,0
10,0,1,1,21,6,8,6,13,6,7,6,14,1
10,1,0,0,18,6,9,5,11,6,14,2,13,0
14,0,1,0,18,6,6,6,12,6,7,5,14,1
12,0,1,1,18,8,8,7,13,8,8,7,13,1
16,0,1,0,19,6,6,0,0,6,0,0,0,0
11,0,1,1,21,6,7,6,10,6,8,5,11,1
6,0,1,1,18,5,7,4,13,5,5,5,12,1
15,0,1,0,20,6,6,5,13,6,7,0,0,0
10,0,1,0,18,6,10,1,12,6,14,2,11,0
12,0,1,0,18,7,8,7,13,8,8,8,14,1
8,0,1,0,20,5,8,4,12,5,8,4,12,1
16,0,1,0,18,7,7,6,11,7,8,6,13,0
2,0,1,1,21,0,0,0,0,0,0,0,0,1
13,0,1,0,20,7,14,7,11,8,9,8,11,0
12,0,1,0,18,8,12,7,12,8,12,7,12,1
14,0,1,1,19,6,8,6,13,6,7,6,12,1
12,0,1,0,19,7,8,6,13,8,9,7,14,1
10,1,1,1,18,6,8,5,11,6,12,4,11,0
10,0,1,0,21,6,9,6,11,6,9,6,13,1
6,0,1,0,18,5,9,5,12,5,7,4,13,0
9,0,1,0,20,5,6,5,12,5,6,5,12,1
12,0,1,0,19,7,9,6,12,7,7,6,13,0
4,0,1,0,21,6,15,5,11,6,17,5,10,0
5,0,1,0,20,6,7,6,12,6,9,4,13,1
9,0,0,0,18,5,9,3,11,5,8,2,13,0
3,0,1,0,19,6,6,6,12,6,8,6,14,1
17,0,1,0,34,5,6,5,12,5,9,5,13,1
1,1,0,0,37,7,7,0,0,7,7,1,10,0
7,0,1,0,43,5,0,0,0,5,0,0,0,0
9,0,1,0,55,5,10,1,10,5,8,2,12,0
17,0,1,0,39,5,8,5,11,5,5,5,11,1
8,1,0,0,20,6,13,3,11,6,11,3,12,0
15,1,1,0,18,6,6,4,12,5,5,0,0,0
9,0,1,0,22,5,5,5,14,5,5,5,15,1
12,0,1,0,22,7,9,5,13,8,9,7,14,1
15,0,0,0,20,6,7,4,13,6,7,5,13,0
17,0,1,0,29,5,0,0,0,5,0,0,0,0
17,0,1,0,24,5,9,2,11,5,11,3,14,0
10,0,1,0,18,6,6,6,11,6,8,5,13,1
12,0,1,1,22,7,8,6,13,8,9,7,13,1
3,0,1,1,21,6,6,6,11,6,7,6,13,1
10,0,1,1,19,6,7,5,12,6,7,6,12,1
11,0,1,1,24,6,6,6,13,6,6,6,14,1
12,0,1,1,19,8,10,6,11,8,10,6,11,0
15,0,1,1,20,6,11,4,14,6,12,3,11,0
8,0,1,0,19,5,7,5,14,5,5,5,15,1
17,0,1,0,27,5,12,5,10,5,10,5,11,0
12,0,1,0,18,7,9,7,13,8,10,8,13,1
11,0,1,0,39,6,10,0,0,6,6,0,0,0
8,0,1,0,27,6,9,5,13,11,13,10,12,0
12,0,1,0,18,8,8,8,14,8,8,8,14,1
2,0,1,0,18,0,0,0,0,0,0,0,0,0
12,0,1,0,18,7,8,6,13,8,12,7,12,1
10,0,1,1,21,6,7,6,12,6,7,6,12,1
2,0,1,1,19,0,0,0,0,0,0,0,0,0
5,0,1,0,19,6,6,5,11,6,8,1,10,0
5,0,1,0,24,6,6,0,0,6,6,0,0,0
12,0,1,0,29,7,10,5,11,8,10,5,11,0
2,0,1,1,19,0,0,0,0,0,0,0,0,1
4,0,1,0,23,6,8,6,12,6,7,6,12,1
9,1,1,0,19,5,8,5,11,5,10,4,10,0
11,0,1,0,26,6,7,6,12,6,8,5,10,0
9,0,1,0,18,5,9,0,0,5,5,0,0,0
12,0,1,0,24,7,8,7,11,8,8,8,13,1
2,0,1,0,19,0,0,0,0,0,0,0,0,0
11,0,1,0,18,6,12,3,11,6,12,1,12,0
15,0,1,0,18,6,8,6,12,6,11,3,12,1
9,1,1,0,18,5,8,3,10,5,11,3,10,0
11,0,1,1,21,6,8,4,10,6,11,1,11,0
15,1,1,1,19,6,6,6,13,6,6,6,13,1
12,0,1,1,22,7,7,7,14,8,9,8,15,1
3,0,1,0,33,6,8,6,12,6,6,6,11,1
16,0,1,0,20,6,8,5,12,6,7,5,12,0
17,0,1,0,35,1,1,0,0,5,0,0,0,0
4,1,1,0,24,12,17,6,12,12,14,10,13,0
11,0,1,0,18,5,6,5,12,5,8,3,11,0
3,0,1,0,33,6,7,6,11,6,11,5,11,1
12,0,1,1,22,8,8,7,13,8,8,7,13,1
14,0,1,1,25,5,7,4,10,5,7,5,11,1
5,0,1,0,20,6,9,6,10,6,6,5,11,1
9,0,1,0,23,5,6,4,14,5,5,5,13,0
7,1,1,0,18,5,9,2,10,5,9,0,0,0
12,0,1,0,24,7,18,0,0,7,7,0,0,0
15,0,0,0,21,6,6,6,14,6,6,6,13,1
8,0,1,0,26,6,7,2,12,6,6,0,0,0
16,0,1,0,39,6,12,3,12,6,14,0,0,0
3,0,1,0,44,8,11,8,11,6,7,6,12,1
7,0,1,0,19,5,9,5,14,5,11,3,13,0
15,0,1,0,18,6,6,6,13,6,6,6,13,1
12,0,1,1,18,7,7,7,13,8,9,8,14,1
6,0,1,0,19,5,7,5,14,5,7,5,13,0
12,1,0,0,19,7,10,4,11,7,7,0,0,0
6,0,1,0,21,10,12,8,12,9,14,5,13,0
2,0,1,0,20,0,0,0,0,0,0,0,0,1
3,0,1,0,36,6,0,0,0,6,0,0,0,0
4,0,1,0,43,18,19,18,14,13,14,13,14,1
16,0,1,0,19,6,0,0,0,6,0,0,0,0
5,1,1,0,20,10,12,10,13,11,11,11,12,1
10,0,1,0,19,6,0,0,0,6,0,0,0,0
6,0,1,0,20,6,15,4,14,6,17,4,13,0
12,0,1,0,20,7,9,6,13,7,10,5,12,0
16,0,1,0,20,7,12,6,11,7,10,3,13,0
10,0,1,0,18,6,8,6,13,6,6,6,15,1
9,0,1,1,18,5,9,3,13,5,11,3,11,0
